epoch,hitrate10,hitrate20,mrr10,mrr20
1,24.73286814,29.69485851,12.39623658,12.74282824
2,27.74060221,32.58733404,15.95804935,16.29584721
3,31.87155647,36.47896165,21.37703268,21.69886847
4,32.24816559,36.7480206,22.00546514,22.31884232
5,32.40637079,36.71021286,22.746655,23.04643465
6,32.42435699,36.6980997,22.84547746,23.14390651
7,32.42986297,36.69296079,22.90209832,23.19987104
8,32.37957501,36.63679978,22.89805973,23.19550188
9,32.38728339,36.64230576,22.9083983,23.20564508
10,32.38618219,36.64707761,22.91809655,23.21575965
11,32.36525946,36.62835727,22.91108676,23.20869586
12,32.3520451,36.61183933,22.90988579,23.20729599
13,32.34507086,36.59972617,22.90705589,23.20407634
14,32.34433673,36.5993591,22.90632613,23.20337378
15,32.3436026,36.59862497,22.9060635,23.20310949
16,32.34323553,36.59715671,22.9055298,23.20249195
17,32.34323553,36.59715671,22.90543395,23.2023961
18,32.34323553,36.59715671,22.90543395,23.2023961
19,32.3436026,36.59715671,22.90528713,23.20221591
20,32.3436026,36.59715671,22.90528713,23.20221591
