epoch,hitrate10,hitrate20,mrr10,mrr20
1,35.79160872,41.12524008,20.67049221,21.04503615
2,38.93370422,44.19415193,24.022253,24.39170185
3,43.15385125,48.17305782,28.91464069,29.26843469
4,43.59179416,48.52208756,29.35711598,29.70801913
5,43.55040069,48.48350884,29.49637196,29.84365182
6,43.60272203,48.46595801,29.73223405,30.07519129
7,43.59510564,48.4679449,29.7523706,30.09588674
8,43.56348103,48.42340552,29.76173492,30.10461498
9,43.5674548,48.42920061,29.76142387,30.10449457
10,43.56695808,48.43251209,29.7631417,30.10639743
11,43.54990397,48.41247765,29.75922752,30.10209102
12,43.53864494,48.3969137,29.75619726,30.09885215
13,43.5306974,48.38731042,29.75492293,30.09745409
14,43.53036625,48.38747599,29.75442536,30.0969899
15,43.52953838,48.38797271,29.75447312,30.09712002
16,43.52953838,48.38697927,29.75366267,30.09624107
17,43.52953838,48.38697927,29.75362633,30.09620481
18,43.52953838,48.38697927,29.75362239,30.09619972
19,43.52970395,48.38697927,29.7536555,30.09621709
20,43.52970395,48.38697927,29.7536555,30.09621709
